source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
WUH	PEK	0	domestic	OpenFlights-2014	0	0.1500			ZHHH	ZBAA	CA	3376	3364
WUH	PVG	1	domestic	OpenFlights-2014	0	0.1500			ZHHH	ZSPD	CZ	3376	3406
MNL	CAN	0	international	OpenSky-2020-01	18	0.3503	2020-01-01 21:13:03+00:00	PAL	RPLL	ZGGG			
HKG	TPE	0	international	OpenSky-2020-01	2463	0.9290	2019-12-31 23:33:20+00:00	CPA	VHHH	RCTP			
SIN	BKK	0	international	OpenSky-2020-01	1427	0.8641	2019-12-31 22:15:15+00:00	SIA	WSSS	VTBS			
ICN	HKG	0	international	OpenSky-2020-01	1385	0.8605	2019-12-31 22:03:38+00:00	KAL	RKSI	VHHH			
LHR	CDG	0	international	OpenSky-2020-01	770	0.7908	2020-01-01 07:01:33+00:00	BAW	EGLL	LFPG			
HKG	NRT	0	international	OpenSky-2020-01	58	0.4850	2020-01-02 03:09:13+00:00	HKE	VHHH	RJAA			
LAX	JFK	8	domestic	OpenSky-2020-01	1804	0.8920	2019-12-31 18:52:41+00:00	AAL	KLAX	KJFK	AA	3484	3797
DEL	BOM	9	domestic	OpenSky-2020-01	3779	0.9799	2019-12-31 22:43:24+00:00	IGO	VIDP	VABB	6E	3093	2997
SYD	MEL	9	domestic	OpenSky-2020-01	4475	1.0000	2019-12-31 23:05:33+00:00	QFA	YSSY	YMML	AA	3361	3339
AKL	CHC	9	domestic	OpenSky-2020-01	1449	0.8659	2019-12-31 23:06:59+00:00	ANZ	NZAA	NZCH	JQ	2006	2009
DXB	BOM	9	international	OpenSky-2020-01	871	0.8054	2019-12-31 22:34:48+00:00	UAE	OMDB	VABB	6E	2188	2997
JNB	CPT	10	domestic	OpenSky-2020-01	363	0.7015	2020-01-01 04:01:18+00:00	CAW	FAOR	FACT	BA	813	797
GRU	BSB	10	domestic	OpenSky-2020-01	602	0.7615	2019-12-31 22:47:08+00:00	TAM	SBGR	SBBR	AD	2564	2531
FRA	LHR	0	international	OpenSky-2020-01	929	0.8131	2020-01-01 06:32:54+00:00	DLH	EDDF	EGLL			
ORD	ATL	0	domestic	OpenSky-2020-01	1239	0.8473	2019-12-31 23:14:38+00:00	DAL	KORD	KATL			
LAX	SFO	8	domestic	OpenSky-2020-01	2681	0.9391	2019-12-31 23:10:11+00:00	UAL	KLAX	KSFO	AA	3484	3469
MIA	ATL	8	domestic	OpenSky-2020-01	1115	0.8348	2019-12-31 22:42:39+00:00	DAL	KMIA	KATL	AA	3576	3682
DEL	BLR	9	domestic	OpenSky-2020-01	2600	0.9354	2019-12-31 22:41:34+00:00	IGO	VIDP	VOBL	6E	3093	3131
MAA	DEL	0	domestic	OpenSky-2020-01	1380	0.8601	2019-12-31 21:59:15+00:00	IGO	VOMM	VIDP			
BNE	SYD	9	domestic	OpenSky-2020-01	2669	0.9385	2019-12-31 23:09:42+00:00	VOZ	YBBN	YSSY	AA	3320	3361
PER	MEL	9	domestic	OpenSky-2020-01	1081	0.8311	2019-12-31 20:17:54+00:00	QFA	YPPH	YMML	AA	3351	3339
GIG	GRU	10	domestic	OpenSky-2020-01	124	0.5744	2020-01-01 00:01:34+00:00	TAM	SBGL	SBGR	G3	2560	2564
HND	FUK	7	domestic	OpenSky-2020-01	2522	0.9318	2019-12-31 23:31:29+00:00	ANA	RJTT	RJFF	7G	2359	2305
HND	CTS	7	domestic	OpenFlights-2014	0	0.1500			RJTT	RJCC	BC	2359	2287
HND	ITM	0	domestic	OpenSky-2020-01	1224	0.8459	2019-12-31 23:35:18+00:00	ANA	RJTT	RJOO			
ITM	OKA	7	domestic	OpenFlights-2014	0	0.1500			RJOO	ROAH	JL	2334	2384
YUL	YYZ	9	domestic	OpenSky-2020-01	1932	0.9001	2019-12-31 23:09:44+00:00	ACA	CYUL	CYYZ	AC	146	193
YVR	YYZ	9	domestic	OpenSky-2020-01	1168	0.8403	2019-12-31 19:25:07+00:00	ACA	CYVR	CYYZ	AC	156	193
JNB	DUR	10	domestic	OpenFlights-2014	0	0.1500			FAOR	FALE	BA	813	799
CGK	DPS	8	domestic	OpenFlights-2014	0	0.1500			WIII	WADD	GA	3275	3940
IST	AYT	9	domestic	OpenFlights-2014	0	0.1500			LTFM	LTAI	8Q	1701	1688
EDI	LHR	8	domestic	OpenSky-2020-01	561	0.7532	2020-01-01 06:30:23+00:00	SHT	EGPH	EGLL	AA	535	507
CDG	NCE	8	domestic	OpenFlights-2014	0	0.1500			LFPG	LFMN	AF	1382	1354
FRA	TXL	8	domestic	OpenFlights-2014	0	0.1500			EDDF	DE-0876	AB	340	351
GMP	HND	0	international	OpenSky-2020-01	389	0.7097	2020-01-01 03:18:53+00:00	KAL	RKSS	RJTT			
GMP	CJU	7	domestic	OpenFlights-2014	0	0.1500			RKSS	RKPC	7C	2378	2370
GRU	EZE	0	international	OpenSky-2020-01	455	0.7283	2019-12-31 22:04:38+00:00	TAM	SBGR	SAEZ			
EZE	COR	10	domestic	OpenFlights-2014	0	0.1500			SAEZ	SACO	AR	3988	2443
MEX	CUN	9	domestic	OpenFlights-2014	0	0.1500			MMMX	MMUN	4O	1824	1852
LOS	ABV	10	domestic	OpenFlights-2014	0	0.1500			DNMM	DNAA	W3	273	260
DOH	LHR	8	international	OpenSky-2020-01	412	0.7165	2019-12-31 20:06:11+00:00	QTR	OTHH	EGLL	QR	11051	507
MAD	PMI	0	domestic	OpenSky-2020-01	865	0.8046	2020-01-01 05:35:29+00:00	AEA	LEMD	LEPA			
JNB	NBO	10	international	OpenFlights-2014	0	0.1500			FAOR	HKJK	KQ	813	4059
CAI	JED	9	international	OpenFlights-2014	0	0.1500			HECA	OEJN	MS	1128	2072
ADD	JNB	10	international	OpenFlights-2014	0	0.1500			HAAB	FAOR	ET	1107	813
KUL	SIN	7	international	OpenSky-2020-01	2451	0.9284	2019-12-31 23:38:42+00:00	AXM	WMKK	WSSS	3K	3304	3316
SCL	MIA	10	international	OpenFlights-2014	0	0.1500			SCEL	KMIA	AA	2650	3576
BOG	LIM	0	international	OpenSky-2020-01	256	0.6601	2020-01-05 13:32:08+00:00	TPU	SKBO	SPIM			
